,visitorid,ses_rec,ses_rec_avg,ses_rec_sd,ses_rec_cv,user_rec,ses_n,ses_n_r,int_n,int_n_r,tran_n,tran_n_r,rev_sum,rev_sum_r,major_spend_r,int_cat_n_avg,int_itm_n_avg,ses_mo_avg,ses_mo_sd,ses_ho_avg,ses_ho_sd,ses_wknd_r,ses_len_avg,time_to_int,time_to_tran,int_cat1_n,int_cat2_n,int_cat3_n,int_cat4_n,int_cat5_n,int_cat6_n,int_cat7_n,int_cat8_n,int_cat9_n,int_cat10_n,int_cat11_n,int_cat12_n,int_cat13_n,int_cat15_n,int_cat16_n,int_cat17_n,int_cat18_n,int_cat19_n,int_cat20_n,int_cat21_n,int_cat22_n,int_cat23_n,int_cat24_n,target_class
0,"[3.70000000e+01 3.53292000e+05 7.10091000e+05 1.06035475e+06
 1.40757300e+06]",[ 0.  7. 16. 23. 31.],[ 0.    0.    2.25 14.25 99.  ],[ 0.   0.   0.   1.  47.5],[-1.         -1.          0.          0.63864637 11.525121  ],[ 0. 16. 26. 46. 99.],[  2.   2.   2.   3. 475.],[-1.          0.06060606  0.09090909  0.16666667 18.        ],[2.000e+00 2.000e+00 3.000e+00 6.000e+00 5.549e+03],[ 1.    1.    1.25  2.   59.  ],[  0.   0.   0.   0. 461.],[0. 0. 0. 0. 5.],[       0.        0.        0.        0. 59717964.],[      0.       0.       0.       0. 1587480.],[0. 0. 0. 0. 1.],[1. 1. 1. 1. 9.],[ 1.   1.   1.   1.5 56. ],[5.1538463 7.        7.        7.8333335 8.       ],[0.         0.         0.         0.70710677 2.1213202 ],[ 0.       11.333333 13.8      16.5      23.      ],[ 0.          0.70710677  2.7080128   4.9497476  16.263456  ],[0.  0.  0.  0.5 1. ],[ 0.          0.          0.10555556  2.06762825 79.166664  ],[0.        0.        0.073125  1.0069444 8.666667 ],"[-1.0000000e+00 -1.0000000e+00 -1.0000000e+00 -1.0000000e+00
  1.2333334e+03]",[  0.   0.   0.   0. 443.],[  0.   0.   0.   0. 157.],[ 0.  0.  0.  0. 50.],[0. 0. 0. 0. 5.],[ 0.  0.  0.  0. 45.],[ 0.  0.  0.  0. 27.],[ 0.  0.  0.  0. 19.],[0. 0. 0. 0. 2.],[0. 0. 0. 0. 3.],[ 0.  0.  0.  0. 86.],[ 0.  0.  0.  0. 22.],[  0.   0.   0.   0. 358.],[ 0.  0.  0.  0. 32.],[0. 0. 0. 0. 0.],[  0.   0.   0.   0. 576.],[  0.   0.   0.   0. 445.],[  0.   0.   0.   0. 481.],[  0.   0.   0.   0. 564.],[  0.   0.   0.   0. 317.],[  0.   0.   0.   0. 420.],[0.000e+00 0.000e+00 0.000e+00 2.000e+00 2.282e+03],[ 0.  0.  0.  0. 54.],[  0.   0.   0.   0. 105.],[0. 1. 1. 1. 1.]
1,-0.009352782128943481,-0.09982414185994874,2.1359447750630327,3.119875754810257,0.9579484204046782,1.0090663834629,30.34171407228269,7.993065494176053,78.8802782094065,6.656186571555024,110.6882652874343,13.176915404471426,118.47747732718149,30.81457281040682,6.435577591048169,15.324928020071516,9.59780326917212,-0.13033040667457121,1.4379565741930131,-0.17203129837422604,1.3142455416050505,0.9915902825344539,4.6757466024548915,1.961816310380985,59.450474107964254,95.4592829317885,39.986208983949744,36.4945185782448,78.33881322918958,25.223412916185257,41.78810513802416,45.4506130794047,178.8323327366577,103.33018211900753,72.12750824440745,117.47777389316482,83.51643635612818,86.61028261411982,,35.284010303173474,30.754106171935362,52.08171404885013,46.87353425890857,36.62051405536689,49.98804293924047,74.67698804415173,38.44831762291889,37.43629783260245,-2.422758688593069
2,-1.2054206356046286,-1.19727847737776,4.253883220369804,10.287697785068387,2.714046143058659,0.07418926655840874,1381.2887191144232,182.8273234454514,9504.598457886683,108.76422941685031,16024.427594154402,276.43185938438165,18392.269850480854,1588.664282495334,46.75426832272159,509.8066014829593,266.0785824927764,-0.46025193902630424,1.3918974997848705,0.054440944290468085,1.9063506327854176,-0.4195029482938839,41.73581171232569,4.04612552081669,6569.692986469271,13637.820265911914,2650.6459087570897,1899.41337846795,7740.985212729558,980.8259999481037,2451.466249868378,3734.8530533449107,33558.56803763645,12028.993406167783,7427.011536942177,15994.348107356214,10518.27569227326,10441.010308889943,,2205.739701154375,1764.0151259799834,4291.032826641521,3982.750451289684,2417.394909409963,4217.6492302837605,8677.45655599153,2402.318120940986,2368.9884781692135,3.86975966315321
3,0.0,0.0482,0.3519,0.7035,0.3516,0.0111,0.0,0.0,0.0,0.0,0.9597,0.9597,0.9597,0.9597,0.9597,0.0,0.0,0.0,0.6213,0.0015,0.0916,0.5616,0.4795,0.4795,0.0005,0.9759,0.9549,0.9893,0.9997,0.9757,0.9929,0.9949,1.0,0.9998,0.9924,0.9989,0.9392,0.9965,1.0,0.8266,0.8519,0.9443,0.8326,0.8651,0.902,0.6301,0.9882,0.9713,0.1144
